data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388121AAA,Anand_VUNagar_DC (Gujarat),IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),20-09-2018 03:21,20-09-2018 04:47,86,TRUE,9,20-09-2018 04:27,10.43566024,14,11,11.9653,1.272727273,14,11,11.9653,1.272727273
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388121AAA,Anand_VUNagar_DC (Gujarat),IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),20-09-2018 03:21,20-09-2018 04:47,86,TRUE,18,20-09-2018 04:17,18.9368423,24,20,21.7243,1.2,10,9,9.759,1.111111111
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388121AAA,Anand_VUNagar_DC (Gujarat),IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),20-09-2018 03:21,20-09-2018 04:47,86,TRUE,27,20-09-2018 04:01,27.63727904,40,28,32.5395,1.428571429,16,7,10.8152,2.285714286
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388121AAA,Anand_VUNagar_DC (Gujarat),IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),20-09-2018 03:21,20-09-2018 04:47,86,TRUE,36,20-09-2018 03:39,36.11802826,62,40,45.562,1.55,21,12,13.0224,1.75
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388121AAA,Anand_VUNagar_DC (Gujarat),IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),20-09-2018 03:21,20-09-2018 04:47,86,FALSE,39,20-09-2018 03:33,39.38604027,68,44,54.2181,1.545454545,6,5,3.9153,1.2
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),IND388320AAA,Anand_Vaghasi_IP (Gujarat),20-09-2018 04:47,20-09-2018 06:36,109,TRUE,9,20-09-2018 06:15,10.40303786,15,11,12.1171,1.363636364,15,11,12.1171,1.363636364
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),IND388320AAA,Anand_Vaghasi_IP (Gujarat),20-09-2018 04:47,20-09-2018 06:36,109,TRUE,18,20-09-2018 05:47,18.04548116,44,17,21.289,2.588235294,28,6,9.1719,4.666666667
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),IND388320AAA,Anand_Vaghasi_IP (Gujarat),20-09-2018 04:47,20-09-2018 06:36,109,TRUE,27,20-09-2018 05:25,28.061896,65,29,35.8252,2.24137931,21,11,14.5362,1.909090909
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),IND388320AAA,Anand_Vaghasi_IP (Gujarat),20-09-2018 04:47,20-09-2018 06:36,109,TRUE,36,20-09-2018 05:15,38.93916664,76,39,47.19,1.948717949,10,10,11.3648,1
training,20-09-2018 02:35,thanos::sroute:eb7bfc78-b351-4c0e-a951-fa3d5c3297ef,Carting,trip-153741093647649320,IND388620AAB,Khambhat_MotvdDPP_D (Gujarat),IND388320AAA,Anand_Vaghasi_IP (Gujarat),20-09-2018 04:47,20-09-2018 06:36,109,FALSE,43,20-09-2018 04:49,43.59580172,102,45,53.2334,2.266666667,26,6,6.0434,4.333333333
